tiempo,salida,entrada
1331.8,11.379116,10.0
1331.9,11.353067,10.0
1332.0,11.248827,10.0
1332.1,11.233621,10.0
1332.2,11.191864,10.0
1332.3,11.235989,10.0
1332.4,11.297196,10.0
1332.5,11.318016,10.0
1332.6,11.376840,10.0
1332.7,11.223732,10.0
1332.8,11.228303,10.0
1332.9,11.252161,10.0
1333.0,11.276254,10.0
1333.1,11.215463,10.0
1333.2,11.417658,10.0
1333.3,11.111314,10.0
1333.4,11.134534,10.0
1333.5,11.473045,10.0
1333.6,11.351827,10.0
1333.7,11.434866,10.0
1333.8,11.287546,10.0
1333.9,11.295872,10.0
1334.0,11.262540,10.0
1334.1,11.288482,10.0
1334.2,11.433431,10.0
1334.3,11.208287,10.0
1334.4,11.372451,10.0
1334.5,11.349400,10.0
1334.6,11.393773,10.0
1334.7,11.429031,10.0
1334.8,11.285600,10.0
1334.9,11.273258,10.0
1335.0,11.304860,10.0
1335.1,11.328359,10.0
1335.2,11.487234,10.0
1335.3,11.229078,10.0
1335.4,11.156860,10.0
1335.5,11.130087,10.0
1335.6,11.391132,10.0
1335.7,11.427548,10.0
1335.8,11.349559,10.0
1335.9,11.415136,10.0
1336.0,11.323927,10.0
1336.1,11.386537,10.0
1336.2,11.291617,10.0
1336.3,11.249567,10.0
1336.4,11.249751,10.0
1336.5,11.199539,10.0
1336.6,11.242254,10.0
1336.7,11.245023,10.0
1336.8,11.545372,10.0
1336.9,11.296031,10.0
1337.0,11.162397,10.0
1337.1,11.546349,10.0
1337.2,11.235481,10.0
1337.3,11.305818,10.0
1337.4,11.434900,10.0
1337.5,11.398710,10.0
1337.6,11.245478,10.0
1337.7,11.400220,10.0
1337.8,11.392662,10.0
1337.9,11.234331,10.0
1338.0,11.460601,10.0
1338.1,11.114757,10.0
1338.2,11.417385,10.0
1338.3,11.114378,10.0
1338.4,11.424779,10.0
1338.5,11.294840,10.0
1338.6,11.501102,10.0
1338.7,11.296333,10.0
1338.8,11.444381,10.0
1338.9,11.314640,10.0
1339.0,11.209387,10.0
1339.1,11.216407,10.0
1339.2,11.138166,10.0
1339.3,11.381184,10.0
1339.4,11.232798,10.0
1339.5,11.314074,10.0
1339.6,11.465705,10.0
1339.7,11.335253,10.0
1339.8,11.445399,10.0
1339.9,11.197160,10.0
1340.0,11.332532,10.0
1340.1,11.310553,10.0
1340.2,11.314028,10.0
1340.3,11.430943,10.0
1340.4,11.349614,10.0
1340.5,11.394320,10.0
1340.6,11.318234,10.0
1340.7,11.327954,10.0
1340.8,11.349135,10.0
1340.9,11.531866,10.0
1341.0,11.333192,10.0
1341.1,11.326033,10.0
1341.2,11.410009,10.0
1341.3,11.362626,10.0
1341.4,11.501933,10.0
1341.5,11.372098,10.0
1341.6,11.459183,10.0
1341.7,11.381569,10.0
1341.8,11.282283,10.0
1341.9,11.233656,10.0
1342.0,11.493514,10.0
1342.1,11.306466,10.0
1342.2,11.268914,10.0
1342.3,11.621638,10.0
1342.4,11.148676,10.0
1342.5,11.331555,10.0
1342.6,11.326915,10.0
1342.7,11.406040,10.0
1342.8,11.390959,10.0
1342.9,11.267391,10.0
1343.0,11.295800,10.0
1343.1,11.254277,10.0
1343.2,11.424045,10.0
1343.3,11.432406,10.0
1343.4,11.368919,10.0
1343.5,11.609094,10.0
1343.6,11.317157,10.0
1343.7,11.464557,10.0
1343.8,11.127546,10.0
1343.9,11.271604,10.0
1344.0,11.521392,10.0
1344.1,11.442242,10.0
1344.2,11.386715,10.0
1344.3,11.245383,10.0
1344.4,11.406760,10.0
1344.5,11.462916,10.0
1344.6,11.498126,10.0
1344.7,11.327787,10.0
1344.8,11.305351,10.0
1344.9,11.198740,10.0
1345.0,11.447156,10.0
1345.1,11.415772,10.0
1345.2,11.621434,10.0
1345.3,11.379638,10.0
1345.4,11.214197,10.0
1345.5,11.362492,10.0
1345.6,11.435392,10.0
1345.7,11.383508,10.0
1345.8,11.398484,10.0
1345.9,11.536367,10.0
1346.0,11.569728,10.0
1346.1,11.380438,10.0
1346.2,11.270776,10.0
1346.3,11.186917,10.0
1346.4,11.236665,10.0
1346.5,11.369835,10.0
1346.6,11.358126,10.0
1346.7,11.386027,10.0
1346.8,11.341634,10.0
1346.9,11.469258,10.0
1347.0,11.472484,10.0
1347.1,11.534880,10.0
1347.2,11.318057,10.0
1347.3,11.491510,10.0
1347.4,11.403542,10.0
1347.5,11.444604,10.0
1347.6,11.319475,10.0
1347.7,11.363709,10.0
1347.8,11.492567,10.0
1347.9,11.351321,10.0
1348.0,11.492994,10.0
1348.1,11.302958,10.0
1348.2,11.349709,10.0
1348.3,11.204327,10.0
1348.4,11.528321,10.0
1348.5,11.399070,10.0
1348.6,11.462034,10.0
1348.7,11.286507,10.0
1348.8,11.416687,10.0
1348.9,11.353830,10.0
1349.0,11.541958,10.0
1349.1,11.518895,10.0
1349.2,11.409596,10.0
1349.3,11.418248,10.0
1349.4,11.470046,10.0
1349.5,11.491912,10.0
1349.6,11.408881,10.0
1349.7,11.431607,10.0
1349.8,11.598024,10.0
1349.9,11.415228,10.0
1350.0,11.448794,10.0
1350.1,11.426384,10.0
1350.2,11.390489,10.0
1350.3,11.478986,10.0
1350.4,11.576823,10.0
1350.5,11.406690,10.0
1350.6,11.203641,10.0
1350.7,11.451666,10.0
1350.8,11.327385,10.0
1350.9,11.437350,10.0
1351.0,11.510438,10.0
1351.1,11.507887,10.0
1351.2,11.496507,10.0
1351.3,11.231346,10.0
1351.4,11.526254,10.0
1351.5,11.553033,10.0
1351.6,11.321943,10.0
1351.7,11.436629,10.0
1351.8,11.411898,10.0
1351.9,11.520967,10.0
1352.0,11.402408,10.0
1352.1,11.381132,10.0
1352.2,11.571388,10.0
1352.3,11.434471,10.0
1352.4,11.505392,10.0
1352.5,11.473127,10.0
1352.6,11.282211,10.0
1352.7,11.399192,10.0
1352.8,11.440356,10.0
1352.9,11.423430,10.0
1353.0,11.343791,10.0
1353.1,11.466744,10.0
1353.2,11.279720,10.0
1353.3,11.530358,10.0
1353.4,11.511580,10.0
1353.5,11.383041,10.0
1353.6,11.662722,10.0
1353.7,11.426451,10.0
1353.8,11.476342,10.0
1353.9,11.475944,10.0
1354.0,11.476979,10.0
1354.1,11.536011,10.0
1354.2,11.520308,10.0
1354.3,11.491756,10.0
1354.4,11.523735,10.0
1354.5,11.526599,10.0
1354.6,11.293733,10.0
1354.7,11.330323,10.0
1354.8,11.551113,10.0
1354.9,11.524037,10.0
1355.0,11.486891,10.0
1355.1,11.493556,10.0
1355.2,11.445052,10.0
1355.3,11.581397,10.0
1355.4,11.631616,10.0
1355.5,11.705390,10.0
1355.6,11.384334,10.0
1355.7,11.609694,10.0
1355.8,11.428359,10.0
1355.9,11.395227,10.0
1356.0,11.443624,10.0
1356.1,11.438883,10.0
1356.2,11.423642,10.0
1356.3,11.537431,10.0
1356.4,11.523763,10.0
1356.5,11.450626,10.0
1356.6,11.359029,10.0
1356.7,11.460052,10.0
1356.8,11.461075,10.0
1356.9,11.560989,10.0
1357.0,11.455046,10.0
1357.1,11.561324,10.0
1357.2,11.451577,10.0
1357.3,11.502306,10.0
1357.4,11.462154,10.0
1357.5,11.683692,10.0
1357.6,11.502748,10.0
1357.7,11.451828,10.0
1357.8,11.537714,10.0
1357.9,11.606093,10.0
1358.0,11.628118,10.0
1358.1,11.531055,10.0
1358.2,11.634207,10.0
1358.3,11.412768,10.0
